,Year,Number
0,1999,3420
1,2000,3730
2,2001,3860
3,2002,4420
4,2003,4890
5,2004,7110
6,2005,7780
7,2006,8130
8,2007,8730
9,2008,9430
10,2009,10600
11,2010,11700
12,2011,12800
13,2012,14800
14,2013,15800
15,2014,16500
16,2015,16200
17,2016,18200
18,2017,20700
19,2018,23900
20,2019,34000
21,2020,37800
